rank CASE,rank GDP,country, Confirmed, imfGDP , unGDP , gdpPerCapita , pop 
1,1,United States,"869,170","22,198,120,000,000.00","18,624,475,000,000.00","67,063.27","331,002.65"
9,2,China,"83,884","15,468,100,000,000.00","11,218,281,029,298.00","10,746.78","1,439,323.78"
22,3,Japan,"12,368","5,495,420,000,000.00","4,936,211,827,875.00","43,450.14","126,476.46"
5,4,Germany,"153,129","4,157,120,000,000.00","3,477,796,274,497.00","49,617.15","83,783.94"
16,5,India,"23,077","3,257,720,000,000.00","2,259,642,382,872.00","2,360.66","1,380,004.39"
6,6,United Kingdom,"139,246","2,927,080,000,000.00","2,647,898,654,635.00","43,117.57","67,886.01"
4,7,France,"158,303","2,876,050,000,000.00","2,465,453,975,282.00","44,061.52","65,273.51"
3,8,Italy,"189,973","2,090,449,999,999.99","1,858,913,163,928.00","34,574.71","60,461.83"
11,9,Brazil,"50,036","2,062,500,000,000.00","1,795,925,681,016.00","9,703.17","212,559.42"
12,10,Canada,"43,285","1,832,490,000,000.00","1,529,760,492,201.00","48,552.87","37,742.15"
26,11,South Korea,"10,708","1,744,360,000,000.00","1,411,245,589,977.00","34,023.56","51,269.19"
10,12,Russia,"62,773","1,667,460,000,000.00","1,246,015,056,927.00","11,426.09","145,934.46"
2,13,Spain,"213,024","1,497,080,000,000.00","1,237,255,019,654.00","32,019.83","46,754.78"
36,14,Australia,"6,662","1,481,460,000,000.00","1,304,463,104,965.00","58,096.73","25,499.88"
24,15,Mexico,"11,633","1,297,750,000,000.00","1,076,914,464,477.00","10,065.32","128,932.75"
31,16,Indonesia,"7,775","1,208,860,000,000.00","932,259,177,621.00","4,419.58","273,523.62"
14,17,Netherlands,"35,921","954,931,000,000.00","777,227,541,581.00","55,730.27","17,134.87"
7,18,Turkey,"101,790","809,555,000,000.00","863,711,710,542.00","9,598.81","84,339.07"
21,19,Saudi Arabia,"13,930","790,062,000,000.00","639,617,050,945.00","22,693.89","34,813.87"
15,20,Switzerland,"28,496","740,702,000,000.00","668,851,296,244.00","85,584.56","8,654.62"
27,21,Poland,"10,511","643,274,000,000.00","471,402,266,588.00","16,996.87","37,846.61"
43,22,Taiwan,427,"633,695,000,000.00", -   ,"26,607.09","23,816.78"
18,23,Sweden,"16,755","576,720,000,000.00","514,475,856,961.00","57,105.15","10,099.27"
13,24,Belgium,"42,797","553,781,000,000.00","467,955,267,357.00","47,782.49","11,589.62"
40,25,Thailand,"2,839","547,431,000,000.00","407,026,319,505.00","7,842.85","69,799.98"
39,26,Argentina,"3,435","515,353,000,000.00","545,866,164,479.00","11,402.68","45,195.77"
42,27,Nigeria,981,"496,122,000,000.00","404,649,125,399.00","2,406.73","206,139.59"
8,28,Iran,"87,026","495,694,000,000.00","425,402,616,011.00","5,901.61","83,992.95"
19,29,Austria,"15,002","481,678,000,000.00","390,799,991,147.00","53,481.76","9,006.40"
29,30,United Arab Emirates,"8,756","449,130,000,000.00","348,743,627,620.00","45,410.69","9,890.40"
33,31,Norway,"7,401","438,623,000,000.00","371,068,933,176.00","80,908.23","5,421.24"
17,32,Ireland,"17,607","405,185,000,000.00","304,819,019,837.00","82,058.03","4,937.79"
20,33,Israel,"14,803","403,961,000,000.00","317,747,579,750.00","46,670.83","8,655.54"
41,34,Hong Kong,"1,035","402,034,000,000.00","320,912,235,499.00","53,626.12","7,496.98"
37,35,Malaysia,"5,603","401,985,000,000.00","296,531,469,473.00","12,419.98","32,366.00"
25,36,Singapore,"11,178","391,875,000,000.00","296,946,278,392.00","66,983.26","5,850.34"
35,37,Philippines,"6,981","389,048,000,000.00","304,905,638,877.00","3,550.32","109,581.08"
44,38,South Africa, -   ,"386,727,000,000.00","295,440,009,818.00","6,520.58","59,308.69"
30,39,Denmark,"8,271","364,546,000,000.00","306,899,653,410.00","62,937.38","5,792.20"
45,40,Colombia, -   ,"352,810,000,000.00","282,462,551,367.00","6,933.76","50,882.89"
46,41,Bangladesh, -   ,"343,279,000,000.00","220,836,732,893.00","2,084.40","164,689.38"
47,42,Egypt, -   ,"331,360,000,000.00","270,143,813,412.00","3,238.01","102,334.40"
23,43,Chile,"11,812","313,561,000,000.00","247,045,730,477.00","16,402.89","19,116.20"
48,44,Finland, -   ,"289,243,000,000.00","238,502,900,312.00","52,203.14","5,540.72"
49,45,Vietnam, -   ,"282,372,000,000.00","205,276,171,343.00","2,900.93","97,338.58"
28,46,Romania,"10,096","263,133,000,000.00","186,690,976,699.00","13,677.99","19,237.69"
50,47,Czech Republic, -   ,"259,736,000,000.00","195,305,084,919.00","24,254.04","10,708.98"
51,48,Portugal, -   ,"249,912,000,000.00","204,836,597,909.00","24,509.08","10,196.71"
52,49,Iraq, -   ,"246,932,000,000.00","160,021,001,474.00","6,139.15","40,222.49"
53,50,Peru, -   ,"244,163,000,000.00","192,209,529,586.00","7,405.19","32,971.85"
54,51,Greece, -   ,"230,500,000,000.00","192,690,813,127.00","22,114.44","10,423.05"
55,52,New Zealand, -   ,"224,943,000,000.00","187,517,098,554.00","46,647.06","4,822.23"
32,53,Qatar,"7,764","204,008,000,000.00","152,451,923,077.00","70,810.22","2,881.05"
56,54,Algeria, -   ,"193,056,000,000.00","159,049,145,187.00","4,402.54","43,851.04"
57,55,Hungary, -   ,"177,734,000,000.00","125,816,640,421.00","18,398.30","9,660.35"
58,56,Kazakhstan, -   ,"177,322,000,000.00","135,005,203,998.00","9,443.72","18,776.71"
34,57,Ukraine,"7,170","147,170,000,000.00","93,270,354,852.00","3,365.13","43,733.76"
59,58,Kuwait, -   ,"142,999,000,000.00","110,346,129,191.00","33,484.75","4,270.57"
60,59,Morocco, -   ,"129,056,000,000.00","103,606,574,896.00","3,496.45","36,910.56"
61,60,Slovakia, -   ,"117,399,000,000.00","89,768,598,023.00","21,503.06","5,459.64"
62,61,Kenya, -   ,"109,116,000,000.00","70,525,979,046.00","2,029.26","53,771.30"
63,62,Ecuador, -   ,"107,730,000,000.00","98,010,212,618.00","6,106.09","17,643.05"
64,63,Puerto Rico, -   ,"104,117,000,000.00","105,034,500,000.00","36,393.69","2,860.85"
65,64,Ethiopia, -   ,"99,371,000,000.00","70,314,560,872.00",864.37,"114,963.59"
66,65,Angola, -   ,"96,426,000,000.00","106,917,535,790.00","2,933.89","32,866.27"
38,66,Dominican Republic,"5,543","90,459,000,000.00","71,583,585,170.00","8,338.84","10,847.91"
67,67,Sri Lanka, -   ,"89,942,000,000.00","81,321,970,966.00","4,200.30","21,413.25"
68,68,Guatemala, -   ,"87,629,000,000.00","68,762,920,570.00","4,891.22","17,915.57"
69,69,Oman, -   ,"84,158,000,000.00","63,170,959,402.00","16,480.16","5,106.63"
70,70,Panama, -   ,"75,494,000,000.00","55,187,800,000.00","17,496.66","4,314.77"
71,71,Luxembourg, -   ,"73,693,000,000.00","58,631,324,559.00","117,724.58",625.98
72,72,Ghana, -   ,"72,264,000,000.00","42,793,869,465.00","2,325.62","31,072.94"
73,73,Bulgaria, -   ,"71,746,000,000.00","53,239,643,485.00","10,325.48","6,948.45"
74,74,Myanmar, -   ,"71,403,000,000.00","65,697,616,068.00","1,312.32","54,409.80"
75,75,Venezuela, -   ,"70,106,000,000.00","291,376,437,340.00","2,465.40","28,435.94"
76,76,Tanzania, -   ,"64,888,000,000.00", -   ,"1,086.28","59,734.22"
77,77,Croatia, -   ,"64,590,000,000.00","51,231,002,611.00","15,733.45","4,105.27"
78,78,Belarus, -   ,"63,664,000,000.00","47,408,111,179.00","6,737.41","9,449.32"
79,79,Costa Rica, -   ,"63,460,000,000.00","57,435,510,668.00","12,457.50","5,094.12"
80,80,Uruguay, -   ,"63,421,000,000.00","52,419,718,459.00","18,257.32","3,473.73"
81,81,Macau, -   ,"62,158,000,000.00","45,311,080,521.00","95,725.63",649.34
82,82,Lebanon, -   ,"60,620,000,000.00","50,457,653,265.00","8,881.47","6,825.45"
83,83,Slovenia, -   ,"58,213,000,000.00","44,708,598,649.00","28,001.32","2,078.94"
84,84,Lithuania, -   ,"57,602,000,000.00","42,773,029,835.00","21,159.40","2,722.29"
85,85,Turkmenistan, -   ,"57,059,000,000.00","36,179,885,714.00","9,460.64","6,031.20"
86,86,Serbia, -   ,"56,886,000,000.00","38,299,871,897.00","6,510.65","8,737.37"
87,87,Uzbekistan, -   ,"55,482,000,000.00","67,778,902,435.00","1,657.70","33,469.20"
88,88,DR Congo, -   ,"52,475,000,000.00","40,337,492,609.00",585.91,"89,561.40"
89,89,Libya, -   ,"50,424,000,000.00","42,959,534,586.00","7,338.36","6,871.29"
90,90,Ivory Coast, -   ,"49,882,000,000.00","36,767,790,205.00","1,891.03","26,378.27"
91,91,Azerbaijan, -   ,"47,429,000,000.00","37,847,204,069.00","4,677.80","10,139.18"
92,92,Bolivia, -   ,"47,052,000,000.00","33,806,395,465.00","4,030.83","11,673.02"
93,93,Jordan, -   ,"46,451,000,000.00","38,654,647,887.00","4,552.62","10,203.13"
94,94,Paraguay, -   ,"45,376,000,000.00","27,165,101,909.00","6,361.83","7,132.54"
95,95,Cameroon, -   ,"42,047,000,000.00","32,217,073,816.00","1,583.94","26,545.86"
96,96,Bahrain, -   ,"40,707,000,000.00","32,179,073,596.00","23,923.13","1,701.58"
97,97,Latvia, -   ,"38,102,000,000.00","27,572,698,482.00","20,200.42","1,886.20"
98,98,Tunisia, -   ,"35,150,000,000.00","41,703,561,397.00","2,974.12","11,818.62"
99,99,Uganda, -   ,"33,620,000,000.00","25,307,842,467.00",735.01,"45,741.01"
100,100,Estonia, -   ,"33,235,000,000.00","23,337,920,560.00","25,053.99","1,326.54"
101,101,Nepal, -   ,"33,035,000,000.00","20,914,004,957.00","1,133.79","29,136.81"
102,102,Yemen, -   ,"31,385,000,000.00","25,374,086,438.00","1,052.27","29,825.96"
103,103,Cambodia, -   ,"29,309,000,000.00","20,016,747,858.00","1,753.04","16,718.97"
104,104,El Salvador, -   ,"28,202,000,000.00","26,797,469,656.00","4,348.00","6,486.21"
105,105,Senegal, -   ,"28,062,000,000.00","14,604,520,531.00","1,675.95","16,743.93"
106,106,Iceland, -   ,"26,821,000,000.00","20,269,659,972.00","78,597.95",341.24
