rank,country, imfGDP 
1,United States," 22,198,120,000,000.00 "
2,China," 15,468,100,000,000.00 "
3,Japan," 5,495,420,000,000.00 "
4,Germany," 4,157,120,000,000.00 "
5,India," 3,257,720,000,000.00 "
6,United Kingdom," 2,927,080,000,000.00 "
7,France," 2,876,050,000,000.00 "
8,Italy," 2,090,449,999,999.99 "
9,Brazil," 2,062,500,000,000.00 "
10,Canada," 1,832,490,000,000.00 "
11,South Korea," 1,744,360,000,000.00 "
12,Russia," 1,667,460,000,000.00 "
13,Spain," 1,497,080,000,000.00 "
14,Australia," 1,481,460,000,000.00 "
15,Mexico," 1,297,750,000,000.00 "
16,Indonesia," 1,208,860,000,000.00 "
17,Netherlands," 954,931,000,000.00 "
18,Turkey," 809,555,000,000.00 "
19,Saudi Arabia," 790,062,000,000.00 "
20,Switzerland," 740,702,000,000.00 "
21,Poland," 643,274,000,000.00 "
22,Taiwan," 633,695,000,000.00 "
23,Sweden," 576,720,000,000.00 "
24,Belgium," 553,781,000,000.00 "
25,Thailand," 547,431,000,000.00 "
26,Argentina," 515,353,000,000.00 "
27,Nigeria," 496,122,000,000.00 "
28,Iran," 495,694,000,000.00 "
29,Austria," 481,678,000,000.00 "
30,United Arab Emirates," 449,130,000,000.00 "
31,Norway," 438,623,000,000.00 "
32,Ireland," 405,185,000,000.00 "
33,Israel," 403,961,000,000.00 "
34,Hong Kong," 402,034,000,000.00 "
35,Malaysia," 401,985,000,000.00 "
36,Singapore," 391,875,000,000.00 "
37,Philippines," 389,048,000,000.00 "
38,South Africa," 386,727,000,000.00 "
39,Denmark," 364,546,000,000.00 "
40,Colombia," 352,810,000,000.00 "
41,Bangladesh," 343,279,000,000.00 "
42,Egypt," 331,360,000,000.00 "
43,Chile," 313,561,000,000.00 "
44,Finland," 289,243,000,000.00 "
45,Vietnam," 282,372,000,000.00 "
46,Romania," 263,133,000,000.00 "
47,Czech Republic," 259,736,000,000.00 "
48,Portugal," 249,912,000,000.00 "
49,Iraq," 246,932,000,000.00 "
50,Peru," 244,163,000,000.00 "
51,Greece," 230,500,000,000.00 "
52,New Zealand," 224,943,000,000.00 "
53,Qatar," 204,008,000,000.00 "
54,Algeria," 193,056,000,000.00 "
55,Hungary," 177,734,000,000.00 "
56,Kazakhstan," 177,322,000,000.00 "
57,Ukraine," 147,170,000,000.00 "
58,Kuwait," 142,999,000,000.00 "
59,Morocco," 129,056,000,000.00 "
60,Slovakia," 117,399,000,000.00 "
61,Kenya," 109,116,000,000.00 "
62,Ecuador," 107,730,000,000.00 "
63,Puerto Rico," 104,117,000,000.00 "
64,Ethiopia," 99,371,000,000.00 "
65,Angola," 96,426,000,000.00 "
66,Dominican Republic," 90,459,000,000.00 "
67,Sri Lanka," 89,942,000,000.00 "
68,Guatemala," 87,629,000,000.00 "
69,Oman," 84,158,000,000.00 "
70,Panama," 75,494,000,000.00 "
71,Luxembourg," 73,693,000,000.00 "
72,Ghana," 72,264,000,000.00 "
73,Bulgaria," 71,746,000,000.00 "
74,Myanmar," 71,403,000,000.00 "
75,Venezuela," 70,106,000,000.00 "
76,Tanzania," 64,888,000,000.00 "
77,Croatia," 64,590,000,000.00 "
78,Belarus," 63,664,000,000.00 "
79,Costa Rica," 63,460,000,000.00 "
80,Uruguay," 63,421,000,000.00 "
81,Macau," 62,158,000,000.00 "
82,Lebanon," 60,620,000,000.00 "
83,Slovenia," 58,213,000,000.00 "
84,Lithuania," 57,602,000,000.00 "
85,Turkmenistan," 57,059,000,000.00 "
86,Serbia," 56,886,000,000.00 "
87,Uzbekistan," 55,482,000,000.00 "
